Ártal,Grófflokkun,Fínflokkun,Lýsing,Nánar,Virkur,Listi sakarefna í Réttarvörslugátt/Frá dómstólum,Spurningar / athugasemdir
1998-022-0000-000,Sérrefsilagabrot,Atvinnuvegir - fiskveiðar og sjávarútveg,Brot á lögum um veiðar og vinnslu erlendra skipa í fiskveiðilandhelgi Íslands ,,TRUE,Sérrefsilagabrot önnur,
1998-028-000-000,Sérrefsilagabrot,Sérrefsilög,"Verslun, lög um verslunaratvinnu",,TRUE,Sérrefsilagabrot önnur,
1998-045-000-000,Sérrefsilagabrot,Stjórnarfar - félagsmálefni,Brot á sveitarstjórnarlögum,,TRUE,Sérrefsilagabrot önnur,
1998-060-0000-000,Sérrefsilagabrot,Stjórnarfar - samgöngur,Brot á lögum um loftferðir,,TRUE,Sérrefsilagabrot önnur,
1998-060-037-000,Sérrefsilagabrot,Stjórnarfar - samgöngur,Ölvun vð stjórn flugfars,,TRUE,Sérrefsilagabrot önnur,
1998-061-003-000,Sérrefsilagabrot,Sérrefsilög,Brot á tilkynningarskyldu læknis til lögreglu vegna andláts,,TRUE,Sérrefsilagabrot önnur,
1998-061-005-000,Sérrefsilagabrot,Sérrefsilög,Læknisfræðileg krufning framkvæmd án samþykkis,,TRUE,Sérrefsilagabrot önnur,
1998-066-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á lögum um dýralækna og heilbrigðisþjónustu við dýr,,TRUE,Sérrefsilagabrot önnur,
1998-075-004-001,Sérrefsilagabrot,Áfengislög,"Innflutningur, heildsala, smásala eða framleiðsla áfengis í atvinnuskyni án leyfis",,TRUE,Áfengislagabrot,
1998-075-004-002,Sérrefsilagabrot,Áfengislög,"Framleiðsla, sala eða veiting áfengis þótt ekki sé í atvinnuskyni",Framleiðsla áfengis til einkaneyslu eða sölu,TRUE,Áfengislagabrot,
1998-075-004-002,Sérrefsilagabrot,Áfengislög,"Framleiðsla, sala eða veiting áfengis þótt ekki sé í atvinnuskyni",Sala áfengis,TRUE,Áfengislagabrot,
1998-075-004-002,Sérrefsilagabrot,Áfengislög,"Framleiðsla, sala eða veiting áfengis þótt ekki sé í atvinnuskyni",Veiting áfengis með öðrum hætti en heimilt er samkvæmt áfengislögum,TRUE,Áfengislagabrot,
1998-075-006-000,Sérrefsilagabrot,Áfengislög,"Áfengislög, ólöglegur tilbúningur áfengis (Bruggun)",,TRUE,Áfengislagabrot,
1998-075-007-000,Sérrefsilagabrot,Áfengislög,"Sérhæfð áhöld til að eima áfengi eða gera drykkjarhæf í eigu, flutt inn, útbúin eða smíðuð á sérstaks leyfis",Áhöld flutt inn,TRUE,Áfengislagabrot,
1998-075-007-000,Sérrefsilagabrot,Áfengislög,"Sérhæfð áhöld til að eima áfengi eða gera drykkjarhæf í eigu, flutt inn, útbúin eða smíðuð á sérstaks leyfis",Áhöld í eigu,TRUE,Áfengislagabrot,
1998-075-007-000,Sérrefsilagabrot,Áfengislög,"Sérhæfð áhöld til að eima áfengi eða gera drykkjarhæf í eigu, flutt inn, útbúin eða smíðuð á sérstaks leyfis",Áhöld útbúin eða smíðuð,TRUE,Áfengislagabrot,
1998-075-009-002,Sérrefsilagabrot,Áfengislög,"Áfengislög, brot á lögum um heimild heildsala til að selja eða afhenda áfengi til leyfishafa",,TRUE,Áfengislagabrot,
1998-075-017-000,Sérrefsilagabrot,Áfengislög,Skilyrði fyrir veitingu tækifærisleyfis til áfengisveitinga brotin,,TRUE,Áfengislagabrot,
1998-075-018-001,Sérrefsilagabrot,Áfengislög,"Áfengislög, áfengi veitt til yngri en 20 ára",,TRUE,Áfengislagabrot,
1998-075-019-003,Sérrefsilagabrot,Áfengislög,"Áfengislög, áfengi borið inn á eða út af vínveitingastað í óleyfi",Áfengi borið inn á veitingastað,TRUE,Áfengislagabrot,
1998-075-019-003,Sérrefsilagabrot,Áfengislög,"Áfengislög, áfengi borið inn á eða út af vínveitingastað í óleyfi",Áfengi borið út af veitingastað,TRUE,Áfengislagabrot,
1998-075-019-004,Sérrefsilagabrot,Áfengislög,"Áfengislög, ólöglegur flutningur, sala eða framleiðsla áfengis",Ólögleg framleiðsla áfengis,TRUE,Áfengislagabrot,
1998-075-019-004,Sérrefsilagabrot,Áfengislög,"Áfengislög, ólöglegur flutningur, sala eða framleiðsla áfengis",Ólögleg sala áfengis,TRUE,Áfengislagabrot,
1998-075-019-004,Sérrefsilagabrot,Áfengislög,"Áfengislög, ólöglegur flutningur, sala eða framleiðsla áfengis",Ólöglegur flutningur áfengis,TRUE,Áfengislagabrot,
1998-075-019-005,Sérrefsilagabrot,Áfengislög,"Áfengislög, varsla á áfengi sem látið hefur verið af hendi andstætt ákvæðum áfengislaga, framleiðsla látin viðgangast á heimili eða landareign eða flutningstæki með vitund og vilja notað til geymslu eða sölu",,TRUE,Áfengislagabrot,
1998-075-020-001,Sérrefsilagabrot,Áfengislög,"Áfengislög, brot á reglum um áfengisauglýsingar",,TRUE,Áfengislagabrot,
1998-075-021-001,Sérrefsilagabrot,Áfengislög,"Áfengislög, ölvun á almannafæri",Ölvun á almannafæri,TRUE,Áfengislagabrot,
1998-075-022-000,Sérrefsilagabrot,Áfengislög,"Áfengislög, undir áhrifum áfengis við flug, akstur, stjórn skips eða vélar",,TRUE,Áfengislagabrot,
1998-075-026-000,Sérrefsilagabrot,Áfengislög,"Áfengi veitt á öðrum tímum en heimilt er, aðrar áfengistegundir,  selt til neyslu utan veitingastaðar eða brýtur gegn öðrum fyrirmælum um áfengisveitingar ",,TRUE,Áfengislagabrot,
1998-077-0000-000,Sérrefsilagabrot,Sérrefsilög,Brot á lögum um lögmenn,,TRUE,Sérrefsilagabrot önnur,
1998-087-000-000,Sérrefsilagabrot,Stjórnarfar - fjárhagsmálefni,Brot á lögum um opinbert eftirlit með fjármálastarfsemi,,TRUE,Sérrefsilagabrot önnur,
1998-136-010-000,Sérrefsilagabrot,Sérrefsilög,Lög um vegabréf,Rangar upplýsingar um forsjá barns til að afla vegabréfs án samþykkis forsjárforeldris,TRUE,Sérrefsilagabrot önnur,
1998-136-010-000,Sérrefsilagabrot,Sérrefsilög,Lög um vegabréf,Vegabréf selt eða haft að féþúfu,TRUE,Sérrefsilagabrot önnur,
1998-16-0004-001,Sérrefsilagabrot,Vopnalög,Framleiðsla skotvopna / skotfæra / sprengiefna (4. gr. 16/1998),Íhlutir,TRUE,Vopnalagabrot,
1998-16-0004-001,Sérrefsilagabrot,Vopnalög,Framleiðsla skotvopna / skotfæra / sprengiefna (4. gr. 16/1998),Skotfæri,TRUE,Vopnalagabrot,
1998-16-0004-001,Sérrefsilagabrot,Vopnalög,Framleiðsla skotvopna / skotfæra / sprengiefna (4. gr. 16/1998),Skotvopn,TRUE,Vopnalagabrot,
1998-16-0004-001,Sérrefsilagabrot,Vopnalög,Framleiðsla skotvopna / skotfæra / sprengiefna (4. gr. 16/1998),Sprengiefni,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Eftirlíking skotvopns,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Hernaðarvopn,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Íhlutir,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Ólögleg vopnagerð,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Skotfæri,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Skotvopn,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Skotvopn án eintaksnúmers,TRUE,Vopnalagabrot,
1998-16-0005-001,Sérrefsilagabrot,Vopnalög,Innflutningur á skotvopnum/skotfærum/sprengiefnum (5. gr. 16/1998),Sprengiefni,TRUE,Vopnalagabrot,
1998-16-0006-001,Sérrefsilagabrot,Vopnalög,Útflutningur á skotvopnum/skotfærum/sprengiefnum án leyfis lögreglustjóra (6. gr. 16/1998),Íhlutir,TRUE,Vopnalagabrot,
1998-16-0006-001,Sérrefsilagabrot,Vopnalög,Útflutningur á skotvopnum/skotfærum/sprengiefnum án leyfis lögreglustjóra (6. gr. 16/1998),Skotfæri,TRUE,Vopnalagabrot,
1998-16-0006-001,Sérrefsilagabrot,Vopnalög,Útflutningur á skotvopnum/skotfærum/sprengiefnum án leyfis lögreglustjóra (6. gr. 16/1998),Skotvopn,TRUE,Vopnalagabrot,
1998-16-0006-001,Sérrefsilagabrot,Vopnalög,Útflutningur á skotvopnum/skotfærum/sprengiefnum án leyfis lögreglustjóra (6. gr. 16/1998),Sprengiefni,TRUE,Vopnalagabrot,
1998-16-0007-000,Sérrefsilagabrot,Vopnalög,Verslun með skotvopn/skotfæri/sprengiefni án leyfis (7. gr. 16/1998),Íhlutir,TRUE,Vopnalagabrot,
1998-16-0007-000,Sérrefsilagabrot,Vopnalög,Verslun með skotvopn/skotfæri/sprengiefni án leyfis (7. gr. 16/1998),Skotfæri,TRUE,Vopnalagabrot,
1998-16-0007-000,Sérrefsilagabrot,Vopnalög,Verslun með skotvopn/skotfæri/sprengiefni án leyfis (7. gr. 16/1998),Skotvopn,TRUE,Vopnalagabrot,
1998-16-0007-000,Sérrefsilagabrot,Vopnalög,Verslun með skotvopn/skotfæri/sprengiefni án leyfis (7. gr. 16/1998),Sprengiefni,TRUE,Vopnalagabrot,
1998-16-0009-000,Sérrefsilagabrot,Vopnalög,"Ekki haldin færslubók verslunareiganda, innflytjanda eða framleiðanda skotvopna, skotfæra og sprengiefna (9. gr. 16/1998)",íhlutir,TRUE,Vopnalagabrot,
1998-16-0009-000,Sérrefsilagabrot,Vopnalög,"Ekki haldin færslubók verslunareiganda, innflytjanda eða framleiðanda skotvopna, skotfæra og sprengiefna (9. gr. 16/1998)",Skotfæri,TRUE,Vopnalagabrot,
1998-16-0009-000,Sérrefsilagabrot,Vopnalög,"Ekki haldin færslubók verslunareiganda, innflytjanda eða framleiðanda skotvopna, skotfæra og sprengiefna (9. gr. 16/1998)",Skotvopn,TRUE,Vopnalagabrot,
1998-16-0009-000,Sérrefsilagabrot,Vopnalög,"Ekki haldin færslubók verslunareiganda, innflytjanda eða framleiðanda skotvopna, skotfæra og sprengiefna (9. gr. 16/1998)",Sprengiefni,TRUE,Vopnalagabrot,
1998-16-0010-000,Sérrefsilagabrot,Vopnalög,Sala eða afhending skotvopna og/eða skotfæra án þess að þar til bærum skilríkjum um leyfi sé framvísað (10. gr. 16/1998),Púður eða nauðsynlegir hlutir til hleðslu skotfæra,TRUE,Vopnalagabrot,
1998-16-0010-000,Sérrefsilagabrot,Vopnalög,Sala eða afhending skotvopna og/eða skotfæra án þess að þar til bærum skilríkjum um leyfi sé framvísað (10. gr. 16/1998),Sala eða afhending skotvopns eða skotfæra,TRUE,Vopnalagabrot,
1998-16-0010-000,Sérrefsilagabrot,Vopnalög,Sala eða afhending skotvopna og/eða skotfæra án þess að þar til bærum skilríkjum um leyfi sé framvísað (10. gr. 16/1998),Skotfæri í önnur vopn en leyfi segir til um,TRUE,Vopnalagabrot,
1998-16-0011-000,Sérrefsilagabrot,Vopnalög,"Notkun kaupmanna, sýningaraðila og safnara á vopnum án leyfis lögreglustjóra (11. gr. 16/1998)",Söfnunarleyfi,TRUE,Vopnalagabrot,
1998-16-0011-000,Sérrefsilagabrot,Vopnalög,"Notkun kaupmanna, sýningaraðila og safnara á vopnum án leyfis lögreglustjóra (11. gr. 16/1998)",Verslunarleyfi,TRUE,Vopnalagabrot,
1998-16-0013-001,Sérrefsilagabrot,Vopnalög,Meðferð eða notkun skotvopns/íhluta án leyfis (13. gr. 16/1998),Aldrei öðlast leyfi,TRUE,Vopnalagabrot,
1998-16-0013-001,Sérrefsilagabrot,Vopnalög,Meðferð eða notkun skotvopns/íhluta án leyfis (13. gr. 16/1998),Ólögleg skotvopn/íhlutir,TRUE,Vopnalagabrot,
1998-16-0013-001,Sérrefsilagabrot,Vopnalög,Meðferð eða notkun skotvopns/íhluta án leyfis (13. gr. 16/1998),Útrunnið/afturkallað leyfi,TRUE,Vopnalagabrot,
1998-16-0015-000,Sérrefsilagabrot,Vopnalög,Safnvopn  (15. gr. 16/1998),Skotfæri keypt án leyfis,TRUE,Vopnalagabrot,
1998-16-0015-000,Sérrefsilagabrot,Vopnalög,Safnvopn  (15. gr. 16/1998),Vopn notað til veiða,TRUE,Vopnalagabrot,
1998-16-0016-000,Sérrefsilagabrot,Vopnalög,Skotvopni úr dánarbúi ekki ráðstafað með réttum hætti (16. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0017-000,Sérrefsilagabrot,Vopnalög,Leyfi skotfimifélags (17. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0019-000,Sérrefsilagabrot,Vopnalög,Skotvopn afhent til einstaklings sem ekki hefur skotvopnaleyfi (19. gr. 16/1998),Afhending,TRUE,Vopnalagabrot,
1998-16-0019-000,Sérrefsilagabrot,Vopnalög,Skotvopn afhent til einstaklings sem ekki hefur skotvopnaleyfi (19. gr. 16/1998),Sala án leyfis,TRUE,Vopnalagabrot,
1998-16-0020-000,Sérrefsilagabrot,Vopnalög,Skotvopnaleyfi ekki haft meðferðis (20.  gr. 16/1998),Lánsheimild,TRUE,Vopnalagabrot,
1998-16-0020-000,Sérrefsilagabrot,Vopnalög,Skotvopnaleyfi ekki haft meðferðis (20.  gr. 16/1998),Skotvopnaleyfi,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Meðferð skotvopna undir áhrifum áfengis eða annarra vímugjafa,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skoti hleypt af á almannafæri,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skoti hleypt af á/yfir landareign annarra,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skoti hleypt af úr ökutæki,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skoti hleypt af yfir veg/á veg,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skoti hleypt af þar sem hætta getur stafað af,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),"Skotvopn hlaðið, ekki í umbúðum",TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skotvopn innanklæða,TRUE,Vopnalagabrot,
1998-16-0021-000,Sérrefsilagabrot,Vopnalög,Ógætileg meðferð skotvopna (21. gr. 16/1998),Skotvopnaburður á almannafæri,TRUE,Vopnalagabrot,
1998-16-0022-000,Sérrefsilagabrot,Vopnalög,Skotfæri afhent til einstaklings sem ekki hefur tilskilin leyfi (22. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0023-001,Sérrefsilagabrot,Vopnalög,Óábyrg geymsla/varsla skotvopna og skotfæra  (23. gr. 16/1998),Ekki tryggt að óviðkomandi nái ekki til skotvopna/skotfæra,TRUE,Vopnalagabrot,
1998-16-0023-001,Sérrefsilagabrot,Vopnalög,Óábyrg geymsla/varsla skotvopna og skotfæra  (23. gr. 16/1998),Skotvopn og skotfæri ekki aðskilin við geymslu,TRUE,Vopnalagabrot,
1998-16-0023-001,Sérrefsilagabrot,Vopnalög,Óábyrg geymsla/varsla skotvopna og skotfæra  (23. gr. 16/1998),Skotvopn/skotfæri ekki geymd í læstum hirslum,TRUE,Vopnalagabrot,
1998-16-0023-002,Sérrefsilagabrot,Vopnalög,Óábyrg geymsla/varsla skotvopna og skotfæra  (23. gr. 16/1998),Skotvopn ekki varslað á lögheimili,TRUE,Vopnalagabrot,
1998-16-0024-000,Sérrefsilagabrot,Vopnalög,Skotæfingar og skotkeppnir  (24. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0025-000,Sérrefsilagabrot,Vopnalög,"Skráningu fargaðs, týnds eða stolins skotvopns ekki sinnt (25. gr. 16/1998)",Stolið,TRUE,Vopnalagabrot,
1998-16-0025-000,Sérrefsilagabrot,Vopnalög,"Skráningu fargaðs, týnds eða stolins skotvopns ekki sinnt (25. gr. 16/1998)",Týnt,TRUE,Vopnalagabrot,
1998-16-0026-000,Sérrefsilagabrot,Vopnalög,Meðferð sprengiefna (26. gr. 16/1998),Afhending án leyfis,TRUE,Vopnalagabrot,
1998-16-0026-000,Sérrefsilagabrot,Vopnalög,Meðferð sprengiefna (26. gr. 16/1998),Kaup án leyfis,TRUE,Vopnalagabrot,
1998-16-0026-000,Sérrefsilagabrot,Vopnalög,Meðferð sprengiefna (26. gr. 16/1998),Sala án leyfis,TRUE,Vopnalagabrot,
1998-16-0026-000,Sérrefsilagabrot,Vopnalög,Meðferð sprengiefna (26. gr. 16/1998),Vörslur án leyfis,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",27. gr. a eiga forefni yfir mörkum,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",27. gr. b. tilkynningaskylda ekki virt,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",27. gr. c. skrá um viðskipti ekki tiltæk,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",Fyllstu varúðar ekki gætt við meðferð eða notkun sprengiefnis,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",Meðferð heimatilbúinnar sprengju,TRUE,Vopnalagabrot,
1998-16-0027-000,Sérrefsilagabrot,Vopnalög,"Meðferð sprengiefnis, forefna til sprengigerðar eða sprengingar án leyfis (27. gr. 16/1998)",Meðferð sprengiefnis án leyfis,TRUE,Vopnalagabrot,
1998-16-0028-000,Sérrefsilagabrot,Vopnalög,Óábyrg geymsla sprengiefna (28. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0029-000,Sérrefsilagabrot,Vopnalög,Tilkynningaskylda vegna fundinna sprengiefna vanrækt (29. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0030-001,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Vopnaburður á almannafæri - hnífur,TRUE,Vopnalagabrot,
1998-16-0030-001,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Vopnaburður á almannafæri - önnur vopn,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Bitvopn með lengra en 12 cm blaði,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Bogar og slöngubyssur,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)","Handjárn, fótajárn og úðavopn",TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Höggvopn og rafmagnsvopn,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Kastvopn,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Ólöglegir hnífar og stunguvopn,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Sverð,TRUE,Vopnalagabrot,
1998-16-0030-002,Sérrefsilagabrot,Vopnalög,"Meðferð annarra vopna, innflutningur og framleiðsla (30. gr. 16/1998)",Önnur vopn,TRUE,Vopnalagabrot,
1998-16-0031-000,Sérrefsilagabrot,Vopnalög,Sala á boga og/eða örvum til barns yngra en 16 ára (31. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0032-000,Sérrefsilagabrot,Vopnalög,"Óheimill innflutningur, útflutningur, sala eða framleiðsla á skoteldum án leyfis (32. gr. 16/1998)",,TRUE,Vopnalagabrot,
1998-16-0033-000,Sérrefsilagabrot,Vopnalög,Meðferð skotelda ábótavant (33. gr. 16/1998),,TRUE,Vopnalagabrot,
1998-16-0038-000,Sérrefsilagabrot,Vopnalög,Breytingar á skotvopni án leyfis 38. gr. 16/1998,Aukabúnaður,TRUE,Vopnalagabrot,
1998-16-0038-000,Sérrefsilagabrot,Vopnalög,Breytingar á skotvopni án leyfis 38. gr. 16/1998,Hámark skotafjölda,TRUE,Vopnalagabrot,
1998-16-0038-000,Sérrefsilagabrot,Vopnalög,Breytingar á skotvopni án leyfis 38. gr. 16/1998,Lásgerð,TRUE,Vopnalagabrot,
1998-16-0038-000,Sérrefsilagabrot,Vopnalög,Breytingar á skotvopni án leyfis 38. gr. 16/1998,Virkni,TRUE,Vopnalagabrot,
1998-463-000-000,Sérrefsilagabrot,Sérrefsilög,Reglugerð um leyfi til farþegaflutninga með skipum,Farþegaflutningar í atvinnuskyni án leyfis,TRUE,Sérrefsilagabrot önnur,
1998-463-000-000,Sérrefsilagabrot,Sérrefsilög,Reglugerð um leyfi til farþegaflutninga með skipum,Fjöldi farþega umfram leyfilegt hámark,TRUE,Sérrefsilagabrot önnur,
1998-787-000-000,Sérrefsilagabrot,Sérrefsilög,"Brot á reglugerð um skotvopn, skotfæri o.fl.",,TRUE,Vopnalagabrot,
1999-044-0000-000,Sérrefsilagabrot,Stjórnarfar - umhverfismál,Lög um náttúruvernd (44/1999),,TRUE,Sérrefsilagabrot önnur,
1999-044-017-000,Sérrefsilagabrot,Stjórnarfar - umhverfismál,Akstur utan vega,,TRUE,Sérrefsilagabrot önnur,
1999-132-010-006,Sérrefsilagabrot,Atvinnuvegir - siglingar og útgerð,"Umsagnar ekki leitað til Siglingastofnunar um legu og merkingu hvers kyns fljótandi mannvirkja á sjó, svo sem fiskeldiskvía, mælitækja í sjó og veðurdufla",,TRUE,Sérrefsilagabrot önnur,
1999-177-0000-000,Sérrefsilagabrot,Áfengislög,Brot á reglugerð um smásölu og veitingar áfengis,,TRUE,Áfengislagabrot,
1999-325-000-000,Sérrefsilagabrot,Lögreglusamþykktir,Brot á lögreglusamþykkt fyrir Fjarðabyggð,,TRUE,Brot gegn lögreglusamþykkt,
1999-785-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á reglugerð um starfsleyfi fyrir atvinnurekstur sem getur haft í för með sér mengun ,,TRUE,Sérrefsilagabrot önnur,
1999-798-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á reglugerð um fráveitur og skólp,,TRUE,Sérrefsilagabrot önnur,
2000-053-0000-000,Sérrefsilagabrot,Stjórnarfar - menntamál,Brot á útvarpslögum,,TRUE,Sérrefsilagabrot önnur,
2000-075-0000-000,Sérrefsilagabrot,Sérrefsilög,Brot á lögum um brunavarnir,,TRUE,Sérrefsilagabrot önnur,
2000-077-000-000,Sérrefsilagabrot,Sérrefsilög,"Persónuréttindi, lög um skráningu og meðferð persónuupplýsinga",,TRUE,Sérrefsilagabrot önnur,
2000-085-000-000,Sérrefsilagabrot,Stjórnarfar - umhverfismál,Brot á lögum um framkvæmd samnings um alþjóðaverslun með tegundir villtra dýra og plantna sem eru í útrýmingarhættu ,,TRUE,Sérrefsilagabrot önnur,
2000-154-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,"Brot á samþykkt um hundahald á Álftanesi, í Garðabæ, Hafnarfirði og Kópavogi",,TRUE,Sérrefsilagabrot önnur,
2000-331-000-000,Sérrefsilagabrot,Stjórnarfar - samgöngur,Brot á reglugerð um vörugjald af ökutækjum,,TRUE,Sérrefsilagabrot önnur,
2000-659-000-000,Sérrefsilagabrot,Atvinnuvegir - siglingar og útgerð,Brot á reglugerð um skráningu einstaklinga sem sigla með farþegaskipum,,TRUE,Sérrefsilagabrot önnur,
2001-0054-0000-000,Sérrefsilagabrot,Atvinnuvegir - almenn ákvæði,Brot á lögum um réttarstöðu starfsmanna sem starfa tímabundið á Íslandi á vegum erlendra fyrirtækja ,,TRUE,Sérrefsilagabrot önnur,
2001-0135-0000-000,Sérrefsilagabrot,Stjórnarfar - landshagir,Brot á girðingarlögum,,TRUE,Sérrefsilagabrot önnur,
2001-038-000-000,Sérrefsilagabrot,Sérrefsilög,Vaxtalög,,TRUE,Sérrefsilagabrot önnur,
2001-046-000-000,Sérrefsilagabrot,Sérrefsilög,"Hönnun, lög um hönnunarvernd",,TRUE,Sérrefsilagabrot önnur,
2001-073-000-000,Sérrefsilagabrot,Sérrefsilög,Brot á lögum um fólksflutninga og farmflutninga á landi,,TRUE,Sérrefsilagabrot önnur,
2001-073-004-001,Sérrefsilagabrot,Sérrefsilög,"Ekið án rekstrarleyfis til fólks-, vöru-, eða efnisflutninga á landi 73/2001",,TRUE,Sérrefsilagabrot önnur,
2001-107-010-000,Sérrefsilagabrot,Stjórnarfar - menntamál,"Fornleifum spillt, grandað, breytt, huldar, aflagaðar eða fluttar úr stað án leyfis Fornleifaverndar ríkisins",,TRUE,Sérrefsilagabrot önnur,
2001-360-000-000,Sérrefsilagabrot,Stjórnarfar - heilbrigðismál,Brot á samþykkt um hundahald á Akureyri,,TRUE,Sérrefsilagabrot önnur,
2001-651-000-000,Sérrefsilagabrot,Atvinnuvegir - landbúnaður,Brot á reglugerð um útrýmingu á riðuveiki og bóta vegna niðurskurðar,,TRUE,Sérrefsilagabrot önnur,
2001-666-000-000,Sérrefsilagabrot,Atvinnuvegir - siglingar og útgerð,Brot á reglugerð um öryggi farþegaskipa í innanlandssiglingum,,TRUE,Sérrefsilagabrot önnur,
2002-006-000-000,Sérrefsilagabrot,Sérrefsilög,Brot á lögum um tóbaksvarnir,,TRUE,Sérrefsilagabrot önnur,
